#						
# Global CO2 concentration (ppm) for use as model forcing in Global Carbon Budget 2024						
# Prepared by M W Jones for the Global Carbon Project 24 May 2024						
# This dataset is intended to be used as atmospheric forcing for modelling the evolution of carbon sinks						
#						
# Input Data:
# NOAA: co2_mm_gl.csv / https://gml.noaa.gov/aftp/products/trends/co2/
# Scripps MLO: https://scrippsco2.ucsd.edu/data/atmospheric_co2/
# Joos & Spahni (2008): https://www.pnas.org/doi/full/10.1073/pnas.0707386105 
#
# Processing steps steps:						
# 1) Jan 1980 onward = raw data from NOAA.						
# 2) March 1958 - December 1979 = Scripps MLO data with corrections made to improve alignment with NOAA data:			
# --- 2A: A constant of -0.231 was added to all Scripps data to improve alignment with the NOAA data. The constant is the mean offset of CO2 trend values in the period 1980-2000. Visual checks suggested that including additional years since 2000 led to a poorer alignment of the two time series because the Scripps and	NOAA data are in better agreement nearer the transition than in more recent years.		
# --- 2B: Departures of the monthly CO2 values from the trend CO2 values are shifted by 1 month versus the raw Scripps data. This corrects for the fact that peaks/troughs in CO2_observation - CO2_trend in the Scripps MLO record are about 1 month out of sync with peaks/troughs in CO2_observation - CO2_trend in the NOAA global CO2 value. Method: found optimal shift in the climatology Scripps data vs the climatology of departures in the NOAA data. +1 month is optimal. This was applied on top of correction (2A).
# --- 2C: The amplitude of the departures of the monthly values from trend values are dampened vs. the raw Scripps data. This corrects for the higher amplitude of the seasonal cycle of CO2 concentrations at MLO vs. in the global record. Method: calculated a Scripps-to-NOAA multiplier from the monthly climatologicalvalues of CO2_observation - CO2_trend in the two datasets. This was applied on top of correction (2B).		
# 3) Jan 1750 - February 1958 = Joos & Spahni data with corrections made to improve alignment with Scripps and NOAA data.						
# --- 3A: A constant of +0.973 was added to all Joos & Spahni data to improve alignment with the Scripps data. The constant is the mean offset	of CO2 annual values (annual mean in the case of Scripps) in the period 1958-1978.
# --- 3B: Climatology was enforced on the Joos & Spahni data. This ensures a continuous climatology consistent with the later Scripps & NOAA	periods. Method: Fitted a spline through annual data to get a monthly CO2 trend estimate then added the monthly climatology of CO2_observation - CO2_trend departures seen in the combined Scripps and NOAA records for the period 1958-2000. These approaches apply on top of corrections (2ABC).
#						
Primary Source,Year_Decimal,Year,Month,CO2_ppm,CO2_ppm.trend
Joos & Spahni,1750.042,1750,1,278.616086965912,277.766769892742
Joos & Spahni,1750.125,1750,2,278.928940887484,277.763822455297
Joos & Spahni,1750.208,1750,3,279.2225436521,277.760876985433
Joos & Spahni,1750.292,1750,4,279.480196699633,277.757934794871
Joos & Spahni,1750.375,1750,5,279.354401957235,277.754997195331
Joos & Spahni,1750.458,1750,6,278.403136927104,277.752065498533
Joos & Spahni,1750.542,1750,7,276.692950540007,277.749141016198
Joos & Spahni,1750.625,1750,8,275.234201250523,277.746225060046
Joos & Spahni,1750.708,1750,9,275.171890370371,277.743318941799
Joos & Spahni,1750.792,1750,10,276.298043020795,277.740423973176
Joos & Spahni,1750.875,1750,11,277.455160513518,277.737541465899
Joos & Spahni,1750.958,1750,12,278.147680736613,277.734672731687
Joos & Spahni,1751.042,1751,1,278.581136114442,277.731819041271
Joos & Spahni,1751.125,1751,2,278.894099154787,277.728980722599
Joos & Spahni,1751.208,1751,3,279.187823827503,277.726157160836
Joos & Spahni,1751.292,1751,4,279.445609604919,277.723347700157
Joos & Spahni,1751.375,1751,5,279.319956446642,277.720551684737
Joos & Spahni,1751.458,1751,6,278.368839887323,277.717768458752
Joos & Spahni,1751.542,1751,7,276.658806890185,277.714997366375
Joos & Spahni,1751.625,1751,8,275.200213942259,277.712237751783
Joos & Spahni,1751.708,1751,9,275.138060387722,277.709488959151
Joos & Spahni,1751.792,1751,10,276.264369380272,277.706750332653
Joos & Spahni,1751.875,1751,11,277.421640264083,277.704021216464
Joos & Spahni,1751.958,1751,12,278.114308959686,277.70130095476
Joos & Spahni,1752.042,1752,1,278.547905984172,277.698588911001
Joos & Spahni,1752.125,1752,2,278.86100332442,277.695884892232
Joos & Spahni,1752.208,1752,3,279.154855815746,277.693189149079
Joos & Spahni,1752.292,1752,4,279.412763856217,277.690501951455
Joos & Spahni,1752.375,1752,5,279.287228331177,277.687823569272
Joos & Spahni,1752.458,1752,6,278.336225701014,277.685154272443
Joos & Spahni,1752.542,1752,7,276.62630385469,277.68249433088
Joos & Spahni,1752.625,1752,8,275.167820204973,277.679844014496
Joos & Spahni,1752.708,1752,9,275.105775021776,277.677203593205
Joos & Spahni,1752.792,1752,10,276.232192384536,277.674573336917
